Entity,Code,Year,Eletricidade (%),Combustíveis limpos (%),Água potável (%)
El Salvador,SLV,2000,84.5,58.4,78.636024
El Salvador,SLV,2001,87.1,60.6,78.83572
El Salvador,SLV,2002,87.5,62.3,80.02853
El Salvador,SLV,2003,87.0,64.1,81.21579
El Salvador,SLV,2004,87.4,66.1,82.39776
El Salvador,SLV,2005,87.5,67.8,83.572815
El Salvador,SLV,2006,89.2,69.5,84.74156
El Salvador,SLV,2007,91.1,71.2,85.916824
El Salvador,SLV,2008,91.0,73.1,87.16196
El Salvador,SLV,2009,91.1,74.9,88.38433
El Salvador,SLV,2010,91.6,76.7,89.58419
El Salvador,SLV,2011,92.6,78.5,90.76149
El Salvador,SLV,2012,93.7,80.4,91.915565
El Salvador,SLV,2013,95.0,82.15,93.04596
El Salvador,SLV,2014,95.1,83.9,94.15293
El Salvador,SLV,2015,95.4,85.5,95.23622
El Salvador,SLV,2016,96.0,87.2,96.20747
El Salvador,SLV,2017,96.8,88.6,96.805016
El Salvador,SLV,2018,97.0,89.9,97.38221
El Salvador,SLV,2019,97.4,90.9,97.82035
El Salvador,SLV,2020,99.7,92.0,98.03051
El Salvador,SLV,2021,97.9,92.9,98.194466
El Salvador,SLV,2022,100.0,93.7,98.59316
